pctf,data,intrare_day,iesire_day,total_day,cet_md,cet_ro,cet_ua,cet_ue,cet_other,zi_sapt,month,is_weekend
BASARABEASCA,2023-01-09,151,147,298,75,1,207,1,14,1,1,0
BASARABEASCA,2023-01-10,180,164,344,60,1,267,2,14,2,1,0
BASARABEASCA,2023-01-11,210,258,468,77,0,374,4,13,3,1,0
BASARABEASCA,2023-01-12,288,302,590,84,0,492,1,13,4,1,0
BASARABEASCA,2023-01-13,253,247,500,81,0,407,1,11,5,1,0
BASARABEASCA,2023-01-14,214,235,449,126,1,307,2,13,6,1,1
BASARABEASCA,2023-01-15,208,218,426,80,1,333,1,11,7,1,1
BASARABEASCA,2023-01-16,204,202,406,69,0,323,0,14,1,1,0
BASARABEASCA,2023-01-17,205,188,393,91,3,285,0,14,2,1,0
BASARABEASCA,2023-01-18,168,177,345,73,0,260,1,11,3,1,0
BASARABEASCA,2023-01-19,135,132,267,62,0,189,4,12,4,1,0
BASARABEASCA,2023-01-20,185,227,412,113,0,283,1,15,5,1,0
BASARABEASCA,2023-01-21,168,171,339,166,0,155,4,14,6,1,1
BASARABEASCA,2023-01-22,132,162,294,87,0,191,1,15,7,1,1
BASARABEASCA,2023-01-23,145,172,317,77,2,223,1,14,1,1,0
BASARABEASCA,2023-01-24,146,143,289,62,0,212,1,14,2,1,0
BASARABEASCA,2023-01-25,138,147,285,69,0,204,0,12,3,1,0
BASARABEASCA,2023-01-26,169,155,324,69,5,236,0,14,4,1,0
BASARABEASCA,2023-01-27,213,210,423,102,0,304,2,15,5,1,0
BASARABEASCA,2023-01-28,142,159,301,95,0,194,0,12,6,1,1
BASARABEASCA,2023-01-29,89,87,176,49,0,117,0,10,7,1,1
BASARABEASCA,2023-01-30,121,161,282,73,0,196,1,12,1,1,0
BASARABEASCA,2023-01-31,191,155,346,69,0,265,1,11,2,1,0
BASARABEASCA,2023-02-01,137,139,276,73,0,190,1,12,3,2,0
BASARABEASCA,2023-02-02,136,156,292,46,0,232,0,14,4,2,0
BASARABEASCA,2023-02-03,189,154,343,88,2,239,0,14,5,2,0
BASARABEASCA,2023-02-04,187,195,382,168,0,197,1,16,6,2,1
BASARABEASCA,2023-02-05,59,73,132,35,0,87,1,9,7,2,1
BASARABEASCA,2023-02-06,97,133,230,60,0,157,0,13,1,2,0
BASARABEASCA,2023-02-07,188,161,349,67,0,268,1,13,2,2,0
BASARABEASCA,2023-02-08,127,143,270,80,2,176,0,12,3,2,0
BASARABEASCA,2023-02-09,147,155,302,89,0,196,3,14,4,2,0
BASARABEASCA,2023-02-10,153,159,312,66,0,231,2,13,5,2,0
BASARABEASCA,2023-02-11,165,165,330,92,4,221,0,13,6,2,1
BASARABEASCA,2023-02-12,127,147,274,40,0,221,0,13,7,2,1
BASARABEASCA,2023-02-13,137,147,284,72,1,194,3,14,1,2,0
BASARABEASCA,2023-02-14,147,151,298,66,2,218,0,12,2,2,0
BASARABEASCA,2023-02-15,147,167,314,82,6,210,0,16,3,2,0
BASARABEASCA,2023-02-16,189,179,368,93,2,251,7,15,4,2,0
BASARABEASCA,2023-02-17,113,148,261,56,1,189,0,15,5,2,0
BASARABEASCA,2023-02-18,187,214,401,161,2,223,2,13,6,2,1
BASARABEASCA,2023-02-19,174,184,358,103,0,241,0,14,7,2,1
BASARABEASCA,2023-02-20,123,132,255,94,0,146,0,15,1,2,0
BASARABEASCA,2023-02-21,172,161,333,71,2,245,1,14,2,2,0
BASARABEASCA,2023-02-22,127,167,294,48,0,235,0,11,3,2,0
BASARABEASCA,2023-02-23,122,125,247,66,0,167,0,14,4,2,0
BASARABEASCA,2023-02-24,169,161,330,74,0,240,2,14,5,2,0
BASARABEASCA,2023-02-25,193,207,400,139,3,242,0,16,6,2,1
BASARABEASCA,2023-02-26,157,130,287,76,1,195,2,13,7,2,1
BASARABEASCA,2023-02-27,111,133,244,61,3,166,1,13,1,2,0
BASARABEASCA,2023-02-28,146,142,288,90,0,181,0,17,2,2,0
BASARABEASCA,2023-03-01,114,159,273,88,0,168,4,13,3,3,0
BASARABEASCA,2023-03-02,129,139,268,78,4,167,2,17,4,3,0
BASARABEASCA,2023-03-03,181,178,359,60,0,280,3,16,5,3,0
BASARABEASCA,2023-03-04,197,178,375,125,0,225,8,17,6,3,1
BASARABEASCA,2023-03-05,169,228,397,102,1,276,3,15,7,3,1
BASARABEASCA,2023-03-06,96,130,226,58,0,153,0,15,1,3,0
BASARABEASCA,2023-03-07,179,191,370,72,0,282,2,14,2,3,0
BASARABEASCA,2023-03-08,91,127,218,57,4,143,0,14,3,3,0
BASARABEASCA,2023-03-09,119,149,268,85,0,169,0,14,4,3,0
BASARABEASCA,2023-03-10,143,149,292,74,2,199,1,16,5,3,0
BASARABEASCA,2023-03-11,149,168,317,112,0,190,1,14,6,3,1
BASARABEASCA,2023-03-12,187,206,393,111,0,267,0,15,7,3,1
BASARABEASCA,2023-03-13,101,122,223,68,0,138,4,13,1,3,0
BASARABEASCA,2023-03-14,112,117,229,67,1,148,0,13,2,3,0
BASARABEASCA,2023-03-15,134,127,261,63,0,181,2,15,3,3,0
BASARABEASCA,2023-03-16,117,165,282,83,1,179,0,19,4,3,0
BASARABEASCA,2023-03-17,140,155,295,100,1,181,0,13,5,3,0
BASARABEASCA,2023-03-18,163,202,365,127,0,221,1,16,6,3,1
BASARABEASCA,2023-03-19,192,172,364,108,1,240,0,15,7,3,1
BASARABEASCA,2023-03-20,97,117,214,54,1,143,1,15,1,3,0
BASARABEASCA,2023-03-21,137,153,290,102,1,172,0,15,2,3,0
BASARABEASCA,2023-03-22,155,159,314,63,2,232,3,14,3,3,0
BASARABEASCA,2023-03-23,120,142,262,100,0,149,0,13,4,3,0
BASARABEASCA,2023-03-24,154,138,292,83,0,194,0,15,5,3,0
BASARABEASCA,2023-03-25,207,234,441,180,2,242,1,16,6,3,1
BASARABEASCA,2023-03-26,176,154,330,77,0,238,0,15,7,3,1
BASARABEASCA,2023-03-27,121,158,279,81,0,186,0,12,1,3,0
BASARABEASCA,2023-03-28,138,142,280,55,2,206,2,15,2,3,0
BASARABEASCA,2023-03-29,138,162,300,87,0,198,2,13,3,3,0
BASARABEASCA,2023-03-30,147,154,301,66,0,223,0,12,4,3,0
BASARABEASCA,2023-03-31,143,156,299,91,0,189,4,15,5,3,0
BASARABEASCA,2023-04-01,171,233,404,173,4,213,0,14,6,4,1
BASARABEASCA,2023-04-02,124,136,260,118,0,122,5,15,7,4,1
BASARABEASCA,2023-04-03,107,133,240,99,1,129,1,10,1,4,0
BASARABEASCA,2023-04-04,151,134,285,74,0,201,0,10,2,4,0
BASARABEASCA,2023-04-05,127,142,269,92,4,152,5,16,3,4,0
BASARABEASCA,2023-04-06,79,119,198,67,0,119,0,12,4,4,0
BASARABEASCA,2023-04-07,145,141,286,79,0,195,1,11,5,4,0
BASARABEASCA,2023-04-08,181,231,412,123,10,264,0,15,6,4,1
BASARABEASCA,2023-04-09,163,181,344,69,1,251,7,16,7,4,1
BASARABEASCA,2023-04-10,131,179,310,107,0,186,4,13,1,4,0
BASARABEASCA,2023-04-11,133,139,272,81,0,178,0,13,2,4,0
BASARABEASCA,2023-04-12,145,161,306,74,0,218,0,14,3,4,0
BASARABEASCA,2023-04-13,143,190,333,96,2,218,0,17,4,4,0
BASARABEASCA,2023-04-14,210,249,459,135,0,305,3,16,5,4,0
BASARABEASCA,2023-04-15,181,228,409,136,7,247,4,15,6,4,1
BASARABEASCA,2023-04-16,111,147,258,154,0,87,1,16,7,4,1
BASARABEASCA,2023-04-17,157,107,264,123,3,123,1,14,1,4,0
BASARABEASCA,2023-04-18,184,184,368,115,2,233,2,16,2,4,0
BASARABEASCA,2023-04-19,124,181,305,87,0,204,0,14,3,4,0
BASARABEASCA,2023-04-20,163,179,342,113,2,206,2,19,4,4,0
BASARABEASCA,2023-04-21,203,193,396,117,7,255,0,17,5,4,0
BASARABEASCA,2023-04-22,255,339,594,241,1,332,2,18,6,4,1
BASARABEASCA,2023-04-23,314,297,611,329,2,264,0,16,7,4,1
BASARABEASCA,2023-04-24,343,281,624,390,4,212,3,15,1,4,0
BASARABEASCA,2023-04-25,230,217,447,163,1,268,0,15,2,4,0
BASARABEASCA,2023-04-26,148,179,327,76,0,237,1,13,3,4,0
BASARABEASCA,2023-04-27,134,136,270,80,0,174,1,15,4,4,0
BASARABEASCA,2023-04-28,138,166,304,66,0,224,2,12,5,4,0
BASARABEASCA,2023-04-29,177,189,366,117,3,229,1,16,6,4,1
BASARABEASCA,2023-04-30,169,227,396,80,1,296,2,17,7,4,1
BASARABEASCA,2023-05-01,117,134,251,67,0,157,9,18,1,5,0
BASARABEASCA,2023-05-02,145,145,290,96,2,178,0,14,2,5,0
BASARABEASCA,2023-05-03,159,188,347,106,0,224,1,16,3,5,0
BASARABEASCA,2023-05-04,170,153,323,125,0,185,0,13,4,5,0
BASARABEASCA,2023-05-05,130,155,285,76,0,192,0,17,5,5,0
BASARABEASCA,2023-05-06,221,246,467,179,3,269,0,16,6,5,1
BASARABEASCA,2023-05-07,185,199,384,89,0,281,0,14,7,5,1
BASARABEASCA,2023-05-08,123,109,232,99,0,119,0,14,1,5,0
BASARABEASCA,2023-05-09,149,118,267,86,4,156,3,18,2,5,0
BASARABEASCA,2023-05-10,149,190,339,88,1,235,1,14,3,5,0
BASARABEASCA,2023-05-11,152,161,313,76,0,222,1,14,4,5,0
BASARABEASCA,2023-05-12,159,150,309,65,2,219,5,18,5,5,0
BASARABEASCA,2023-05-13,205,247,452,173,3,254,4,18,6,5,1
BASARABEASCA,2023-05-14,208,207,415,110,1,286,2,16,7,5,1
BASARABEASCA,2023-05-15,125,149,274,100,0,156,5,13,1,5,0
BASARABEASCA,2023-05-16,163,186,349,98,4,232,0,15,2,5,0
BASARABEASCA,2023-05-17,150,152,302,95,0,191,1,15,3,5,0
BASARABEASCA,2023-05-18,159,183,342,114,1,211,0,16,4,5,0
BASARABEASCA,2023-05-19,218,169,387,115,2,254,1,15,5,5,0
BASARABEASCA,2023-05-20,183,205,388,172,3,200,0,13,6,5,1
BASARABEASCA,2023-05-21,159,197,356,79,1,260,1,15,7,5,1
BASARABEASCA,2023-05-22,127,124,251,98,1,138,0,14,1,5,0
BASARABEASCA,2023-05-23,140,136,276,70,1,191,1,13,2,5,0
BASARABEASCA,2023-05-24,190,206,396,95,3,279,0,19,3,5,0
BASARABEASCA,2023-05-25,132,142,274,83,2,172,2,15,4,5,0
BASARABEASCA,2023-05-26,155,183,338,92,1,229,3,13,5,5,0
BASARABEASCA,2023-05-27,222,242,464,130,2,311,3,18,6,5,1
BASARABEASCA,2023-05-28,197,225,422,113,4,287,1,17,7,5,1
BASARABEASCA,2023-05-29,92,120,212,70,0,125,1,16,1,5,0
BASARABEASCA,2023-05-30,188,208,396,89,2,287,4,14,2,5,0
BASARABEASCA,2023-05-31,151,183,334,98,2,218,0,16,3,5,0
BASARABEASCA,2023-06-01,124,164,288,74,0,200,0,14,4,6,0
BASARABEASCA,2023-06-02,185,169,354,109,2,228,0,15,5,6,0
BASARABEASCA,2023-06-03,235,262,497,180,4,296,1,16,6,6,1
BASARABEASCA,2023-06-04,242,199,441,121,0,303,1,16,7,6,1
BASARABEASCA,2023-06-05,192,158,350,131,0,197,0,22,1,6,0
BASARABEASCA,2023-06-06,181,162,343,104,6,215,2,16,2,6,0
BASARABEASCA,2023-06-07,182,196,378,114,1,248,1,14,3,6,0
BASARABEASCA,2023-06-08,194,204,398,90,1,290,0,17,4,6,0
BASARABEASCA,2023-06-09,166,184,350,105,1,224,3,17,5,6,0
BASARABEASCA,2023-06-10,211,253,464,166,3,269,0,26,6,6,1
BASARABEASCA,2023-06-11,235,241,476,121,2,337,0,16,7,6,1
BASARABEASCA,2023-06-12,105,114,219,64,1,139,0,15,1,6,0
BASARABEASCA,2023-06-13,147,186,333,66,1,251,0,15,2,6,0
BASARABEASCA,2023-06-14,150,174,324,83,1,226,0,14,3,6,0
BASARABEASCA,2023-06-15,150,170,320,90,1,212,0,17,4,6,0
BASARABEASCA,2023-06-16,201,204,405,105,3,277,2,18,5,6,0
BASARABEASCA,2023-06-17,244,317,561,222,2,314,4,19,6,6,1
BASARABEASCA,2023-06-18,283,258,541,177,9,333,2,20,7,6,1
BASARABEASCA,2023-06-19,177,195,372,111,3,234,6,18,1,6,0
BASARABEASCA,2023-06-20,151,175,326,114,3,190,2,17,2,6,0
BASARABEASCA,2023-06-21,158,175,333,76,1,238,3,15,3,6,0
BASARABEASCA,2023-06-22,191,208,399,131,4,245,1,18,4,6,0
BASARABEASCA,2023-06-23,200,203,403,107,0,282,0,14,5,6,0
BASARABEASCA,2023-06-24,221,209,430,141,0,274,2,13,6,6,1
BASARABEASCA,2023-06-25,233,243,476,170,2,282,4,18,7,6,1
BASARABEASCA,2023-06-26,111,164,275,121,0,139,0,15,1,6,0
BASARABEASCA,2023-06-27,166,172,338,91,1,230,1,15,2,6,0
BASARABEASCA,2023-06-28,150,150,300,80,0,205,0,15,3,6,0
BASARABEASCA,2023-06-29,213,180,393,121,2,255,1,14,4,6,0
BASARABEASCA,2023-06-30,191,187,378,105,5,250,1,17,5,6,0
BASARABEASCA,2023-07-01,210,242,452,161,6,264,2,19,6,7,1
BASARABEASCA,2023-07-02,180,151,331,68,3,246,0,14,7,7,1
BASARABEASCA,2023-07-03,121,175,296,105,0,175,2,14,1,7,0
BASARABEASCA,2023-07-04,167,166,333,79,3,232,4,15,2,7,0
BASARABEASCA,2023-07-05,169,143,312,86,0,208,2,16,3,7,0
BASARABEASCA,2023-07-06,153,193,346,97,0,232,1,16,4,7,0
BASARABEASCA,2023-07-07,199,181,380,117,2,245,0,16,5,7,0
BASARABEASCA,2023-07-08,169,169,338,107,0,211,1,19,6,7,1
BASARABEASCA,2023-07-09,187,212,399,110,0,274,2,13,7,7,1
BASARABEASCA,2023-07-10,118,143,261,85,0,163,0,13,1,7,0
BASARABEASCA,2023-07-11,195,195,390,128,5,237,3,17,2,7,0
BASARABEASCA,2023-07-12,186,183,369,86,3,261,1,18,3,7,0
BASARABEASCA,2023-07-13,146,177,323,127,4,176,2,14,4,7,0
BASARABEASCA,2023-07-14,167,184,351,119,0,210,5,17,5,7,0
BASARABEASCA,2023-07-15,218,282,500,200,10,269,1,20,6,7,1
BASARABEASCA,2023-07-16,279,191,470,157,4,284,8,17,7,7,1
BASARABEASCA,2023-07-17,123,112,235,95,0,126,2,12,1,7,0
BASARABEASCA,2023-07-18,189,182,371,110,2,240,3,16,2,7,0
BASARABEASCA,2023-07-19,218,198,416,110,1,290,0,15,3,7,0
BASARABEASCA,2023-07-20,188,198,386,113,1,251,2,19,4,7,0
BASARABEASCA,2023-07-21,183,215,398,109,2,269,1,17,5,7,0
BASARABEASCA,2023-07-22,232,245,477,154,3,300,1,19,6,7,1
BASARABEASCA,2023-07-23,247,260,507,127,1,353,2,24,7,7,1
BASARABEASCA,2023-07-24,129,172,301,94,2,186,2,17,1,7,0
BASARABEASCA,2023-07-25,169,226,395,110,3,260,2,20,2,7,0
BASARABEASCA,2023-07-26,189,164,353,86,2,249,0,16,3,7,0
BASARABEASCA,2023-07-27,176,188,364,121,0,225,1,17,4,7,0
BASARABEASCA,2023-07-28,246,193,439,121,2,294,2,20,5,7,0
BASARABEASCA,2023-07-29,256,257,513,157,3,329,5,19,6,7,1
BASARABEASCA,2023-07-30,288,280,568,142,3,392,13,18,7,7,1
BASARABEASCA,2023-07-31,143,224,367,101,1,247,2,16,1,7,0
BASARABEASCA,2023-08-01,223,234,457,112,2,325,0,18,2,8,0
BASARABEASCA,2023-08-02,232,265,497,153,4,304,14,22,3,8,0
BASARABEASCA,2023-08-03,205,182,387,142,1,219,4,21,4,8,0
BASARABEASCA,2023-08-04,208,227,435,159,2,249,1,24,5,8,0
BASARABEASCA,2023-08-05,235,265,500,165,0,310,6,19,6,8,1
BASARABEASCA,2023-08-06,352,268,620,153,2,432,13,20,7,8,1
BASARABEASCA,2023-08-07,163,147,310,98,0,189,6,17,1,8,0
BASARABEASCA,2023-08-08,163,181,344,77,0,249,0,18,2,8,0
BASARABEASCA,2023-08-09,198,258,456,104,6,326,2,18,3,8,0
BASARABEASCA,2023-08-10,172,209,381,116,4,240,3,18,4,8,0
BASARABEASCA,2023-08-11,258,254,512,153,6,327,5,21,5,8,0
BASARABEASCA,2023-08-12,292,287,579,206,5,341,8,19,6,8,1
BASARABEASCA,2023-08-13,326,254,580,193,4,360,3,20,7,8,1
BASARABEASCA,2023-08-14,166,196,362,114,3,220,4,21,1,8,0
BASARABEASCA,2023-08-15,188,221,409,130,8,244,5,22,2,8,0
BASARABEASCA,2023-08-16,229,242,471,119,4,330,2,16,3,8,0
BASARABEASCA,2023-08-17,241,193,434,103,10,302,1,18,4,8,0
BASARABEASCA,2023-08-18,195,248,443,133,1,283,6,20,5,8,0
BASARABEASCA,2023-08-19,256,262,518,174,1,326,0,17,6,8,1
BASARABEASCA,2023-08-20,249,275,524,123,1,366,14,20,7,8,1
BASARABEASCA,2023-08-21,158,158,316,94,0,195,7,20,1,8,0
BASARABEASCA,2023-08-22,160,185,345,95,1,220,7,22,2,8,0
BASARABEASCA,2023-08-23,192,197,389,96,0,273,2,18,3,8,0
BASARABEASCA,2023-08-24,171,203,374,98,5,247,6,18,4,8,0
BASARABEASCA,2023-08-25,178,208,386,81,8,270,8,19,5,8,0
BASARABEASCA,2023-08-26,211,242,453,143,7,284,0,19,6,8,1
BASARABEASCA,2023-08-27,299,298,597,186,9,370,10,22,7,8,1
BASARABEASCA,2023-08-28,143,165,308,110,4,179,0,15,1,8,0
BASARABEASCA,2023-08-29,185,198,383,105,3,247,10,18,2,8,0
BASARABEASCA,2023-08-30,178,196,374,108,2,240,2,22,3,8,0
BASARABEASCA,2023-08-31,191,186,377,111,2,245,1,18,4,8,0
BASARABEASCA,2023-09-01,166,168,334,93,2,222,1,16,5,9,0
BASARABEASCA,2023-09-02,243,230,473,166,2,287,5,13,6,9,1
BASARABEASCA,2023-09-03,245,217,462,115,8,313,8,18,7,9,1
BASARABEASCA,2023-09-04,134,179,313,70,2,217,7,17,1,9,0
BASARABEASCA,2023-09-05,161,189,350,97,2,233,3,15,2,9,0
BASARABEASCA,2023-09-06,152,178,330,91,0,217,4,18,3,9,0
BASARABEASCA,2023-09-07,171,145,316,70,3,220,7,16,4,9,0
BASARABEASCA,2023-09-08,202,198,400,112,2,265,3,18,5,9,0
BASARABEASCA,2023-09-09,255,234,489,150,4,319,1,15,6,9,1
BASARABEASCA,2023-09-10,253,279,532,153,0,362,2,15,7,9,1
BASARABEASCA,2023-09-11,140,194,334,84,3,229,2,16,1,9,0
BASARABEASCA,2023-09-12,189,187,376,107,3,247,1,18,2,9,0
BASARABEASCA,2023-09-13,186,803,989,73,1,300,4,611,3,9,0
BASARABEASCA,2023-09-14,159,604,763,96,0,231,7,429,4,9,0
BASARABEASCA,2023-09-15,189,140,329,70,2,234,6,17,5,9,0
BASARABEASCA,2023-09-16,220,269,489,195,10,262,5,17,6,9,1
BASARABEASCA,2023-09-17,186,210,396,109,1,269,0,17,7,9,1
BASARABEASCA,2023-09-18,230,153,383,95,1,188,2,97,1,9,0
BASARABEASCA,2023-09-19,214,185,399,68,0,244,5,82,2,9,0
BASARABEASCA,2023-09-20,172,155,327,64,1,242,2,18,3,9,0
BASARABEASCA,2023-09-21,188,188,376,89,2,263,0,22,4,9,0
BASARABEASCA,2023-09-22,230,206,436,121,1,298,0,16,5,9,0
BASARABEASCA,2023-09-23,229,242,471,145,0,304,1,21,6,9,1
BASARABEASCA,2023-09-24,212,203,415,131,1,261,5,17,7,9,1
BASARABEASCA,2023-09-25,126,148,274,69,2,181,5,17,1,9,0
BASARABEASCA,2023-09-26,154,172,326,97,2,214,0,13,2,9,0
BASARABEASCA,2023-09-27,184,199,383,133,0,231,5,14,3,9,0
BASARABEASCA,2023-09-28,184,191,375,105,3,243,3,21,4,9,0
BASARABEASCA,2023-09-29,222,208,430,131,2,279,2,16,5,9,0
BASARABEASCA,2023-09-30,243,243,486,208,7,252,1,18,6,9,1
BASARABEASCA,2023-10-01,290,274,564,166,2,377,3,16,7,10,1
BASARABEASCA,2023-10-02,132,150,282,89,0,178,0,15,1,10,0
BASARABEASCA,2023-10-03,164,151,315,79,2,221,0,13,2,10,0
BASARABEASCA,2023-10-04,141,137,278,74,1,189,0,14,3,10,0
BASARABEASCA,2023-10-05,156,163,319,119,0,184,2,14,4,10,0
BASARABEASCA,2023-10-06,190,171,361,96,2,242,3,18,5,10,0
BASARABEASCA,2023-10-07,261,293,554,176,7,349,4,18,6,10,1
BASARABEASCA,2023-10-08,226,251,477,148,3,291,16,19,7,10,1
BASARABEASCA,2023-10-09,136,168,304,97,2,189,1,15,1,10,0
BASARABEASCA,2023-10-10,145,127,272,56,0,203,0,13,2,10,0
BASARABEASCA,2023-10-11,167,179,346,114,3,210,3,16,3,10,0
BASARABEASCA,2023-10-12,178,192,370,119,1,233,3,14,4,10,0
BASARABEASCA,2023-10-13,238,201,439,115,3,281,20,20,5,10,0
BASARABEASCA,2023-10-14,270,265,535,205,1,309,5,15,6,10,1
BASARABEASCA,2023-10-15,231,231,462,127,6,305,5,19,7,10,1
BASARABEASCA,2023-10-16,123,163,286,103,4,159,1,19,1,10,0
BASARABEASCA,2023-10-17,180,183,363,118,4,220,6,15,2,10,0
BASARABEASCA,2023-10-18,170,194,364,97,0,240,6,21,3,10,0
BASARABEASCA,2023-10-19,144,157,301,67,1,217,1,15,4,10,0
BASARABEASCA,2023-10-20,181,187,368,107,1,239,0,21,5,10,0
BASARABEASCA,2023-10-21,230,230,460,179,1,265,1,14,6,10,1
BASARABEASCA,2023-10-22,276,260,536,118,2,397,3,16,7,10,1
BASARABEASCA,2023-10-23,147,174,321,97,1,208,1,14,1,10,0
BASARABEASCA,2023-10-24,173,164,337,99,1,220,0,17,2,10,0
BASARABEASCA,2023-10-25,135,144,279,71,0,194,0,14,3,10,0
BASARABEASCA,2023-10-26,122,162,284,89,6,170,0,19,4,10,0
BASARABEASCA,2023-10-27,184,176,360,83,9,245,7,16,5,10,0
BASARABEASCA,2023-10-28,209,279,488,165,1,291,13,18,6,10,1
BASARABEASCA,2023-10-29,312,258,570,147,6,375,2,40,7,10,1
BASARABEASCA,2023-10-30,136,157,293,95,4,174,4,16,1,10,0
BASARABEASCA,2023-10-31,236,211,447,90,1,340,0,16,2,10,0
BASARABEASCA,2023-11-01,181,185,366,102,1,230,16,17,3,11,0
BASARABEASCA,2023-11-02,152,197,349,79,1,251,2,16,4,11,0
BASARABEASCA,2023-11-03,210,177,387,118,3,251,0,15,5,11,0
BASARABEASCA,2023-11-04,196,216,412,201,4,194,0,13,6,11,1
BASARABEASCA,2023-11-05,279,252,531,172,7,328,2,22,7,11,1
BASARABEASCA,2023-11-06,84,143,227,64,3,143,1,16,1,11,0
BASARABEASCA,2023-11-07,142,156,298,87,4,194,0,13,2,11,0
BASARABEASCA,2023-11-08,158,145,303,62,0,226,1,14,3,11,0
BASARABEASCA,2023-11-09,133,169,302,113,0,171,1,17,4,11,0
BASARABEASCA,2023-11-10,223,219,442,135,5,283,0,19,5,11,0
BASARABEASCA,2023-11-11,221,255,476,189,6,259,4,18,6,11,1
BASARABEASCA,2023-11-12,173,136,309,115,3,176,1,14,7,11,1
BASARABEASCA,2023-11-13,100,127,227,65,2,147,1,12,1,11,0
BASARABEASCA,2023-11-14,178,175,353,93,1,236,1,22,2,11,0
BASARABEASCA,2023-11-15,131,146,277,76,0,188,0,13,3,11,0
BASARABEASCA,2023-11-16,126,161,287,96,0,176,2,13,4,11,0
BASARABEASCA,2023-11-17,215,203,418,143,0,253,7,15,5,11,0
BASARABEASCA,2023-11-18,130,147,277,121,0,141,0,15,6,11,1
BASARABEASCA,2023-11-19,168,176,344,86,0,235,7,16,7,11,1
BASARABEASCA,2023-11-20,96,137,233,73,2,144,1,13,1,11,0
BASARABEASCA,2023-11-21,159,144,303,115,1,173,0,14,2,11,0
BASARABEASCA,2023-11-22,132,147,279,83,6,175,0,15,3,11,0
BASARABEASCA,2023-11-23,142,163,305,112,1,175,1,16,4,11,0
BASARABEASCA,2023-11-24,203,180,383,120,5,238,2,18,5,11,0
BASARABEASCA,2023-11-25,210,241,451,194,1,241,0,15,6,11,1
BASARABEASCA,2023-11-26,54,39,93,30,0,57,0,6,7,11,1
BASARABEASCA,2023-11-27,35,33,68,18,2,41,2,5,1,11,0
BASARABEASCA,2023-11-28,139,131,270,70,6,177,2,15,2,11,0
BASARABEASCA,2023-11-29,108,131,239,76,0,151,0,12,3,11,0
BASARABEASCA,2023-11-30,124,136,260,71,7,166,2,14,4,11,0
