pctf,data,intrare_day,iesire_day,total_day,car_in,car_out,bus_in,bus_out,light_trucks_in,light_trucks_out,trucks_in,trucks_out,zi_sapt,month,is_weekend
BASARABEASCA,2022-12-23,32,44,76,30,37,2,2,0,0,0,5,5,12,0
BASARABEASCA,2022-12-24,43,51,94,40,45,2,2,0,0,1,4,6,12,1
BASARABEASCA,2022-12-25,37,38,75,33,30,2,2,1,1,1,5,7,12,1
BASARABEASCA,2022-12-26,23,41,64,20,32,2,2,0,0,1,7,1,12,0
BASARABEASCA,2022-12-27,41,44,85,38,36,2,2,0,0,1,6,2,12,0
BASARABEASCA,2022-12-28,37,54,91,34,38,2,2,0,0,1,14,3,12,0
BASARABEASCA,2022-12-29,45,62,107,39,51,2,2,2,2,2,7,4,12,0
BASARABEASCA,2022-12-30,46,63,109,44,49,2,2,0,0,0,12,5,12,0
BASARABEASCA,2022-12-31,30,38,68,27,35,3,2,0,0,0,1,6,12,1
BASARABEASCA,2023-01-01,11,22,33,11,22,0,0,0,0,0,0,7,1,1
BASARABEASCA,2023-01-02,26,39,65,25,36,1,2,0,0,0,1,1,1,0
BASARABEASCA,2023-01-03,33,39,72,30,34,2,2,0,0,1,3,2,1,0
BASARABEASCA,2023-01-04,36,47,83,31,40,2,2,0,0,3,5,3,1,0
BASARABEASCA,2023-01-05,30,44,74,28,39,2,2,0,0,0,3,4,1,0
BASARABEASCA,2023-01-06,28,43,71,25,39,2,2,0,0,1,2,5,1,0
BASARABEASCA,2023-01-07,31,33,64,28,32,1,1,0,0,2,0,6,1,1
BASARABEASCA,2023-01-08,32,28,60,29,25,2,3,0,0,1,0,7,1,1
BASARABEASCA,2023-01-09,24,28,52,20,24,2,2,0,0,2,2,1,1,0
BASARABEASCA,2023-01-10,27,34,61,24,29,2,2,1,1,0,2,2,1,0
BASARABEASCA,2023-01-11,26,41,67,24,37,2,2,0,0,0,2,3,1,0
BASARABEASCA,2023-01-12,31,48,79,29,42,2,2,0,0,0,4,4,1,0
BASARABEASCA,2023-01-13,23,31,54,21,26,2,2,0,0,0,3,5,1,0
BASARABEASCA,2023-01-14,29,31,60,25,26,2,2,0,0,2,3,6,1,1
BASARABEASCA,2023-01-15,23,40,63,21,37,2,2,0,0,0,1,7,1,1
BASARABEASCA,2023-01-16,23,24,47,21,21,2,2,0,0,0,1,1,1,0
BASARABEASCA,2023-01-17,25,27,52,22,25,2,1,0,0,1,1,2,1,0
BASARABEASCA,2023-01-18,23,30,53,22,27,1,2,0,0,0,1,3,1,0
BASARABEASCA,2023-01-19,26,28,54,23,23,2,2,0,0,1,3,4,1,0
BASARABEASCA,2023-01-20,28,48,76,25,41,2,2,0,0,1,5,5,1,0
BASARABEASCA,2023-01-21,35,40,75,32,35,2,2,0,0,1,3,6,1,1
BASARABEASCA,2023-01-22,21,36,57,19,32,2,3,0,0,0,1,7,1,1
BASARABEASCA,2023-01-23,29,39,68,27,34,2,2,0,0,0,3,1,1,0
BASARABEASCA,2023-01-24,25,29,54,22,25,2,1,1,1,0,2,2,1,0
BASARABEASCA,2023-01-25,21,20,41,18,16,1,2,0,0,2,2,3,1,0
BASARABEASCA,2023-01-26,28,26,54,26,23,2,2,0,0,0,1,4,1,0
BASARABEASCA,2023-01-27,27,34,61,24,30,3,2,0,0,0,2,5,1,0
BASARABEASCA,2023-01-28,29,32,61,26,27,1,2,0,0,2,3,6,1,1
BASARABEASCA,2023-01-29,22,24,46,18,20,2,1,0,0,2,3,7,1,1
BASARABEASCA,2023-01-30,17,25,42,16,20,1,2,0,0,0,3,1,1,0
BASARABEASCA,2023-01-31,18,27,45,15,25,2,1,0,0,1,1,2,1,0
BASARABEASCA,2023-02-01,23,31,54,21,27,1,2,0,0,1,2,3,2,0
BASARABEASCA,2023-02-02,17,30,47,15,21,2,2,0,0,0,7,4,2,0
BASARABEASCA,2023-02-03,30,34,64,28,30,2,2,0,0,0,2,5,2,0
BASARABEASCA,2023-02-04,30,42,72,26,33,2,2,0,0,2,7,6,2,1
BASARABEASCA,2023-02-05,12,11,23,10,8,1,1,0,0,1,2,7,2,1
BASARABEASCA,2023-02-06,19,28,47,18,24,1,3,0,0,0,1,1,2,0
BASARABEASCA,2023-02-07,27,39,66,24,31,3,2,0,0,0,6,2,2,0
BASARABEASCA,2023-02-08,18,25,43,16,19,1,1,0,0,1,5,3,2,0
BASARABEASCA,2023-02-09,31,35,66,29,29,1,3,0,0,1,3,4,2,0
BASARABEASCA,2023-02-10,32,38,70,30,31,2,1,0,0,0,6,5,2,0
BASARABEASCA,2023-02-11,24,38,62,23,34,1,2,0,0,0,2,6,2,1
BASARABEASCA,2023-02-12,17,32,49,15,31,2,1,0,0,0,0,7,2,1
BASARABEASCA,2023-02-13,24,31,55,22,26,1,3,0,0,1,2,1,2,0
BASARABEASCA,2023-02-14,18,21,39,15,19,2,1,0,0,1,1,2,2,0
BASARABEASCA,2023-02-15,20,30,50,19,25,1,4,0,0,0,1,3,2,0
BASARABEASCA,2023-02-16,31,36,67,29,33,2,2,0,0,0,1,4,2,0
BASARABEASCA,2023-02-17,20,24,44,17,22,2,1,0,0,1,1,5,2,0
BASARABEASCA,2023-02-18,31,48,79,30,44,1,2,0,0,0,2,6,2,1
BASARABEASCA,2023-02-19,27,30,57,25,28,2,1,0,0,0,1,7,2,1
BASARABEASCA,2023-02-20,24,28,52,23,23,1,2,0,0,0,3,1,2,0
BASARABEASCA,2023-02-21,23,29,52,20,27,2,1,0,0,1,1,2,2,0
BASARABEASCA,2023-02-22,16,26,42,15,21,1,2,0,0,0,3,3,2,0
BASARABEASCA,2023-02-23,21,29,50,18,22,2,3,0,0,1,4,4,2,0
BASARABEASCA,2023-02-24,22,29,51,20,27,2,1,0,0,0,1,5,2,0
BASARABEASCA,2023-02-25,32,47,79,29,39,1,3,0,0,2,5,6,2,1
BASARABEASCA,2023-02-26,29,30,59,25,26,2,2,1,1,1,1,7,2,1
BASARABEASCA,2023-02-27,25,30,55,24,26,1,3,0,0,0,1,1,2,0
BASARABEASCA,2023-02-28,16,21,37,13,19,2,1,0,0,1,1,2,2,0
BASARABEASCA,2023-03-01,19,31,50,18,23,1,2,0,0,0,6,3,3,0
BASARABEASCA,2023-03-02,27,39,66,24,33,2,2,0,0,1,4,4,3,0
BASARABEASCA,2023-03-03,23,31,54,21,27,2,1,0,0,0,3,5,3,0
BASARABEASCA,2023-03-04,29,35,64,26,31,1,3,0,0,2,1,6,3,1
BASARABEASCA,2023-03-05,21,29,50,19,27,2,1,0,0,0,1,7,3,1
BASARABEASCA,2023-03-06,19,24,43,17,19,1,2,1,1,0,2,1,3,0
BASARABEASCA,2023-03-07,17,22,39,15,20,2,1,0,0,0,1,2,3,0
BASARABEASCA,2023-03-08,15,29,44,14,23,1,2,0,0,0,4,3,3,0
BASARABEASCA,2023-03-09,20,26,46,17,22,2,2,0,0,1,2,4,3,0
BASARABEASCA,2023-03-10,25,37,62,23,32,2,1,0,0,0,4,5,3,0
BASARABEASCA,2023-03-11,24,38,62,23,29,1,2,0,0,0,7,6,3,1
BASARABEASCA,2023-03-12,32,34,66,29,32,2,1,0,0,1,1,7,3,1
BASARABEASCA,2023-03-13,21,33,54,20,28,1,2,0,0,0,3,1,3,0
BASARABEASCA,2023-03-14,18,20,38,15,18,2,1,0,0,1,1,2,3,0
BASARABEASCA,2023-03-15,19,24,43,18,20,1,2,0,0,0,2,3,3,0
BASARABEASCA,2023-03-16,24,42,66,22,30,2,2,0,0,0,10,4,3,0
BASARABEASCA,2023-03-17,30,40,70,28,36,2,1,0,0,0,3,5,3,0
BASARABEASCA,2023-03-18,27,41,68,25,35,1,3,0,0,1,3,6,3,1
BASARABEASCA,2023-03-19,33,36,69,30,33,2,2,0,0,1,1,7,3,1
BASARABEASCA,2023-03-20,22,25,47,21,21,1,2,0,0,0,2,1,3,0
BASARABEASCA,2023-03-21,23,26,49,19,23,2,1,0,0,2,2,2,3,0
BASARABEASCA,2023-03-22,25,31,56,24,26,1,2,0,0,0,3,3,3,0
BASARABEASCA,2023-03-23,22,31,53,19,25,2,2,0,0,1,4,4,3,0
BASARABEASCA,2023-03-24,17,29,46,15,21,2,1,0,0,0,7,5,3,0
BASARABEASCA,2023-03-25,37,43,80,36,37,1,2,0,0,0,4,6,3,1
BASARABEASCA,2023-03-26,24,29,53,21,27,2,1,0,0,1,1,7,3,1
BASARABEASCA,2023-03-27,19,28,47,17,24,2,2,0,0,0,2,1,3,0
BASARABEASCA,2023-03-28,25,23,48,22,20,2,1,0,0,1,2,2,3,0
BASARABEASCA,2023-03-29,22,31,53,21,22,1,2,0,1,0,6,3,3,0
BASARABEASCA,2023-03-30,21,29,50,19,26,2,2,0,0,0,1,4,3,0
BASARABEASCA,2023-03-31,22,35,57,20,31,2,1,0,0,0,3,5,3,0
BASARABEASCA,2023-04-01,29,40,69,27,35,1,2,0,0,1,3,6,4,1
BASARABEASCA,2023-04-02,31,33,64,29,31,2,1,0,0,0,1,7,4,1
BASARABEASCA,2023-04-03,20,33,53,19,25,1,2,0,0,0,6,1,4,0
BASARABEASCA,2023-04-04,21,31,52,19,23,2,1,0,0,0,7,2,4,0
BASARABEASCA,2023-04-05,26,39,65,25,27,1,2,0,0,0,10,3,4,0
BASARABEASCA,2023-04-06,17,28,45,15,20,2,2,0,0,0,6,4,4,0
BASARABEASCA,2023-04-07,26,29,55,24,28,2,1,0,0,0,0,5,4,0
BASARABEASCA,2023-04-08,25,42,67,24,33,1,2,0,0,0,7,6,4,1
BASARABEASCA,2023-04-09,24,25,49,22,23,2,1,0,0,0,1,7,4,1
BASARABEASCA,2023-04-10,17,28,45,16,23,1,2,0,0,0,3,1,4,0
BASARABEASCA,2023-04-11,21,28,49,18,27,2,1,0,0,1,0,2,4,0
BASARABEASCA,2023-04-12,20,36,56,19,27,1,2,0,0,0,7,3,4,0
BASARABEASCA,2023-04-13,29,38,67,27,30,2,2,0,0,0,6,4,4,0
BASARABEASCA,2023-04-14,29,56,85,26,46,2,2,0,0,1,8,5,4,0
BASARABEASCA,2023-04-15,28,53,81,26,46,2,2,0,0,0,5,6,4,1
BASARABEASCA,2023-04-16,27,41,68,27,41,0,0,0,0,0,0,7,4,1
BASARABEASCA,2023-04-17,39,30,69,36,24,2,2,0,0,1,4,1,4,0
BASARABEASCA,2023-04-18,28,41,69,26,37,2,3,0,0,0,1,2,4,0
BASARABEASCA,2023-04-19,23,39,62,21,35,2,2,0,0,0,2,3,4,0
BASARABEASCA,2023-04-20,35,41,76,30,36,2,2,0,0,3,3,4,4,0
BASARABEASCA,2023-04-21,30,37,67,28,29,2,2,0,0,0,6,5,4,0
BASARABEASCA,2023-04-22,45,69,114,42,63,2,2,0,0,1,4,6,4,1
BASARABEASCA,2023-04-23,65,82,147,61,75,2,2,0,0,2,5,7,4,1
BASARABEASCA,2023-04-24,75,75,150,72,70,2,2,0,0,1,3,1,4,0
BASARABEASCA,2023-04-25,38,48,86,34,38,3,4,0,0,1,6,2,4,0
BASARABEASCA,2023-04-26,26,44,70,24,38,2,2,0,0,0,4,3,4,0
BASARABEASCA,2023-04-27,23,23,46,20,19,2,2,0,0,1,2,4,4,0
BASARABEASCA,2023-04-28,25,39,64,23,32,2,2,0,0,0,5,5,4,0
BASARABEASCA,2023-04-29,36,46,82,33,42,2,2,0,0,1,2,6,4,1
BASARABEASCA,2023-04-30,29,40,69,26,36,2,2,0,0,1,2,7,4,1
BASARABEASCA,2023-05-01,20,27,47,17,23,2,2,0,0,1,2,1,5,0
BASARABEASCA,2023-05-02,19,25,44,17,24,2,1,0,0,0,0,2,5,0
BASARABEASCA,2023-05-03,34,49,83,30,36,1,3,0,0,3,10,3,5,0
BASARABEASCA,2023-05-04,33,36,69,27,25,2,2,0,0,4,9,4,5,0
BASARABEASCA,2023-05-05,19,38,57,15,34,2,1,0,0,2,3,5,5,0
BASARABEASCA,2023-05-06,40,57,97,36,48,1,2,0,0,3,7,6,5,1
BASARABEASCA,2023-05-07,31,35,66,25,28,2,2,0,0,4,5,7,5,1
BASARABEASCA,2023-05-08,31,29,60,27,23,2,2,0,0,2,4,1,5,0
BASARABEASCA,2023-05-09,29,29,58,25,21,2,1,0,0,2,7,2,5,0
BASARABEASCA,2023-05-10,29,50,79,26,43,1,2,0,0,2,5,3,5,0
BASARABEASCA,2023-05-11,27,35,62,23,28,2,3,0,0,2,4,4,5,0
BASARABEASCA,2023-05-12,24,34,58,19,29,2,1,0,0,3,4,5,5,0
BASARABEASCA,2023-05-13,28,48,76,25,39,1,2,0,0,2,7,6,5,1
BASARABEASCA,2023-05-14,29,42,71,26,35,2,2,0,0,1,5,7,5,1
BASARABEASCA,2023-05-15,22,26,48,18,22,2,3,0,0,2,1,1,5,0
BASARABEASCA,2023-05-16,23,37,60,20,31,2,1,0,0,1,5,2,5,0
BASARABEASCA,2023-05-17,24,27,51,22,21,1,3,0,0,1,3,3,5,0
BASARABEASCA,2023-05-18,27,39,66,24,31,2,2,0,0,1,6,4,5,0
BASARABEASCA,2023-05-19,35,42,77,32,38,2,1,0,0,1,3,5,5,0
BASARABEASCA,2023-05-20,37,52,89,35,46,1,2,0,0,1,4,6,5,1
BASARABEASCA,2023-05-21,24,34,58,21,31,2,1,0,0,1,2,7,5,1
BASARABEASCA,2023-05-22,26,22,48,24,16,1,2,0,0,1,4,1,5,0
BASARABEASCA,2023-05-23,19,24,43,15,21,2,1,0,0,2,2,2,5,0
BASARABEASCA,2023-05-24,27,35,62,24,28,1,2,0,0,2,5,3,5,0
BASARABEASCA,2023-05-25,23,31,54,20,25,2,2,0,0,1,4,4,5,0
BASARABEASCA,2023-05-26,26,32,58,22,28,2,1,0,0,2,3,5,5,0
BASARABEASCA,2023-05-27,38,57,95,35,49,1,2,0,0,2,6,6,5,1
BASARABEASCA,2023-05-28,31,52,83,27,45,2,1,0,0,2,6,7,5,1
BASARABEASCA,2023-05-29,18,27,45,16,23,1,2,0,0,1,2,1,5,0
BASARABEASCA,2023-05-30,23,39,62,19,33,2,1,0,0,2,5,2,5,0
BASARABEASCA,2023-05-31,22,27,49,20,23,1,1,0,0,1,3,3,5,0
BASARABEASCA,2023-06-01,19,26,45,16,20,1,2,0,0,2,4,4,6,0
BASARABEASCA,2023-06-02,28,40,68,25,30,2,1,0,0,1,9,5,6,0
BASARABEASCA,2023-06-03,36,60,96,34,54,1,2,0,0,1,4,6,6,1
BASARABEASCA,2023-06-04,38,35,73,34,31,2,1,0,0,2,3,7,6,1
BASARABEASCA,2023-06-05,42,35,77,41,31,1,2,0,0,0,2,1,6,0
BASARABEASCA,2023-06-06,30,39,69,26,32,2,1,1,1,1,5,2,6,0
BASARABEASCA,2023-06-07,23,39,62,20,27,1,2,0,0,2,10,3,6,0
BASARABEASCA,2023-06-08,29,40,69,25,34,2,2,0,0,2,4,4,6,0
BASARABEASCA,2023-06-09,27,37,64,23,32,2,1,0,0,2,4,5,6,0
BASARABEASCA,2023-06-10,37,47,84,29,40,1,3,0,0,7,4,6,6,1
BASARABEASCA,2023-06-11,30,43,73,26,37,2,2,0,0,2,4,7,6,1
BASARABEASCA,2023-06-12,24,23,47,19,20,2,2,0,0,3,1,1,6,0
BASARABEASCA,2023-06-13,19,38,57,16,29,2,1,0,0,1,8,2,6,0
BASARABEASCA,2023-06-14,24,34,58,18,29,1,2,0,0,5,3,3,6,0
BASARABEASCA,2023-06-15,26,28,54,18,19,2,2,0,0,6,7,4,6,0
BASARABEASCA,2023-06-16,39,50,89,26,41,2,1,0,0,11,8,5,6,0
BASARABEASCA,2023-06-17,41,63,104,38,57,1,3,0,0,2,3,6,6,1
BASARABEASCA,2023-06-18,46,54,100,40,48,2,2,0,0,4,4,7,6,1
BASARABEASCA,2023-06-19,36,45,81,32,40,2,2,0,0,2,3,1,6,0
BASARABEASCA,2023-06-20,26,38,64,23,30,2,1,0,0,1,7,2,6,0
BASARABEASCA,2023-06-21,21,38,59,17,32,1,2,0,0,3,4,3,6,0
BASARABEASCA,2023-06-22,29,48,77,26,36,2,2,0,0,1,10,4,6,0
BASARABEASCA,2023-06-23,25,34,59,20,31,2,1,0,0,3,2,5,6,0
BASARABEASCA,2023-06-24,36,48,84,35,42,1,2,0,0,0,4,6,6,1
BASARABEASCA,2023-06-25,47,49,96,39,43,2,2,1,0,5,4,7,6,1
BASARABEASCA,2023-06-26,23,37,60,21,33,2,2,0,0,0,2,1,6,0
BASARABEASCA,2023-06-27,27,28,55,19,21,2,1,0,0,6,6,2,6,0
BASARABEASCA,2023-06-28,22,35,57,19,28,1,2,0,0,2,5,3,6,0
BASARABEASCA,2023-06-29,34,37,71,31,28,2,2,0,0,1,7,4,6,0
BASARABEASCA,2023-06-30,35,50,85,32,43,2,1,0,0,1,6,5,6,0
BASARABEASCA,2023-07-01,46,55,101,40,49,1,3,0,0,5,3,6,7,1
BASARABEASCA,2023-07-02,33,29,62,27,20,2,3,0,0,4,6,7,7,1
BASARABEASCA,2023-07-03,28,35,63,26,30,2,2,0,0,0,3,1,7,0
BASARABEASCA,2023-07-04,28,37,65,23,33,2,1,0,0,3,3,2,7,0
BASARABEASCA,2023-07-05,32,24,56,26,20,1,1,0,0,5,3,3,7,0
BASARABEASCA,2023-07-06,25,47,72,23,37,1,2,0,0,1,8,4,7,0
BASARABEASCA,2023-07-07,33,34,67,29,30,2,1,0,0,2,3,5,7,0
BASARABEASCA,2023-07-08,29,41,70,27,34,1,2,0,0,1,5,6,7,1
BASARABEASCA,2023-07-09,26,36,62,21,29,2,1,0,0,3,6,7,7,1
BASARABEASCA,2023-07-10,28,41,69,25,37,1,1,0,0,2,3,1,7,0
BASARABEASCA,2023-07-11,30,34,64,26,26,1,2,0,0,3,6,2,7,0
BASARABEASCA,2023-07-12,26,36,62,23,30,1,1,0,0,2,5,3,7,0
BASARABEASCA,2023-07-13,32,50,82,26,41,1,1,0,0,5,8,4,7,0
BASARABEASCA,2023-07-14,27,38,65,25,30,1,1,0,0,1,7,5,7,0
BASARABEASCA,2023-07-15,41,65,106,38,55,1,1,0,0,2,9,6,7,1
BASARABEASCA,2023-07-16,46,38,84,39,32,2,1,0,0,5,5,7,7,1
BASARABEASCA,2023-07-17,29,33,62,23,25,1,1,0,0,5,7,1,7,0
BASARABEASCA,2023-07-18,33,31,64,25,22,1,2,0,0,7,7,2,7,0
BASARABEASCA,2023-07-19,24,30,54,19,22,1,1,0,0,4,7,3,7,0
BASARABEASCA,2023-07-20,32,41,73,25,30,1,1,0,0,6,10,4,7,0
BASARABEASCA,2023-07-21,35,45,80,31,40,1,1,0,0,3,4,5,7,0
BASARABEASCA,2023-07-22,34,57,91,30,45,1,1,0,0,3,11,6,7,1
BASARABEASCA,2023-07-23,35,47,82,30,41,2,1,0,0,3,5,7,7,1
BASARABEASCA,2023-07-24,28,30,58,22,24,1,1,0,0,5,5,1,7,0
BASARABEASCA,2023-07-25,32,53,85,28,40,1,2,0,0,3,11,2,7,0
BASARABEASCA,2023-07-26,29,40,69,26,34,1,1,0,0,2,5,3,7,0
BASARABEASCA,2023-07-27,28,45,73,24,37,2,1,0,0,2,7,4,7,0
BASARABEASCA,2023-07-28,39,47,86,33,40,2,2,0,0,4,5,5,7,0
BASARABEASCA,2023-07-29,42,48,90,37,40,1,1,0,0,4,7,6,7,1
BASARABEASCA,2023-07-30,40,55,95,34,48,2,1,0,0,4,6,7,7,1
BASARABEASCA,2023-07-31,25,52,77,22,40,1,1,0,0,2,11,1,7,0
BASARABEASCA,2023-08-01,32,41,73,29,33,1,3,0,0,2,5,2,8,0
BASARABEASCA,2023-08-02,39,58,97,35,46,1,1,0,0,3,11,3,8,0
BASARABEASCA,2023-08-03,39,49,88,36,43,1,1,0,0,2,5,4,8,0
BASARABEASCA,2023-08-04,34,50,84,28,44,3,1,0,0,3,5,5,8,0
BASARABEASCA,2023-08-05,43,64,107,40,55,1,2,0,0,2,7,6,8,1
BASARABEASCA,2023-08-06,51,44,95,41,36,3,1,0,0,7,7,7,8,1
BASARABEASCA,2023-08-07,28,36,64,24,25,1,3,0,0,3,8,1,8,0
BASARABEASCA,2023-08-08,26,39,65,22,28,1,1,0,0,3,10,2,8,0
BASARABEASCA,2023-08-09,39,47,86,34,38,1,1,0,0,4,8,3,8,0
BASARABEASCA,2023-08-10,24,42,66,20,35,1,1,0,1,3,5,4,8,0
BASARABEASCA,2023-08-11,41,58,99,37,53,2,1,0,0,2,4,5,8,0
BASARABEASCA,2023-08-12,49,61,110,46,54,1,2,0,0,2,5,6,8,1
BASARABEASCA,2023-08-13,49,44,93,45,38,2,1,0,0,2,5,7,8,1
BASARABEASCA,2023-08-14,35,50,85,32,44,1,2,0,0,2,4,1,8,0
BASARABEASCA,2023-08-15,35,48,83,27,40,1,1,0,0,7,7,2,8,0
BASARABEASCA,2023-08-16,38,54,92,32,40,2,3,0,0,4,11,3,8,0
BASARABEASCA,2023-08-17,41,40,81,32,31,2,1,0,0,7,8,4,8,0
BASARABEASCA,2023-08-18,36,54,90,31,45,2,2,0,0,3,7,5,8,0
BASARABEASCA,2023-08-19,38,52,90,32,42,2,2,0,0,4,8,6,8,1
BASARABEASCA,2023-08-20,43,55,98,39,46,2,2,0,0,2,7,7,8,1
BASARABEASCA,2023-08-21,29,38,67,25,31,2,2,0,0,2,5,1,8,0
BASARABEASCA,2023-08-22,20,27,47,17,20,1,1,0,0,2,6,2,8,0
BASARABEASCA,2023-08-23,22,29,51,19,20,1,2,0,0,2,7,3,8,0
BASARABEASCA,2023-08-24,30,44,74,26,33,2,1,0,0,2,10,4,8,0
BASARABEASCA,2023-08-25,26,42,68,23,34,1,3,0,0,2,5,5,8,0
BASARABEASCA,2023-08-26,40,59,99,35,51,2,1,0,0,3,7,6,8,1
BASARABEASCA,2023-08-27,53,55,108,50,51,2,1,0,0,1,3,7,8,1
BASARABEASCA,2023-08-28,30,38,68,28,37,1,1,0,0,1,0,1,8,0
BASARABEASCA,2023-08-29,27,35,62,24,28,1,2,0,0,2,5,2,8,0
BASARABEASCA,2023-08-30,24,34,58,22,27,1,3,0,0,1,4,3,8,0
BASARABEASCA,2023-08-31,34,42,76,31,36,2,1,0,0,1,5,4,8,0
BASARABEASCA,2023-09-01,31,41,72,28,34,1,2,0,0,2,5,5,9,0
BASARABEASCA,2023-09-02,38,59,97,34,46,2,1,0,0,2,12,6,9,1
BASARABEASCA,2023-09-03,36,41,77,32,32,2,2,0,0,2,7,7,9,1
BASARABEASCA,2023-09-04,27,35,62,25,32,2,1,0,0,0,2,1,9,0
BASARABEASCA,2023-09-05,27,49,76,25,39,1,2,0,0,1,8,2,9,0
BASARABEASCA,2023-09-06,26,37,63,22,25,1,1,0,0,3,11,3,9,0
BASARABEASCA,2023-09-07,32,32,64,29,27,1,1,0,0,2,4,4,9,0
BASARABEASCA,2023-09-08,32,44,76,30,40,1,1,0,0,1,3,5,9,0
BASARABEASCA,2023-09-09,38,44,82,36,40,1,1,0,0,1,3,6,9,1
BASARABEASCA,2023-09-10,45,49,94,39,45,2,1,0,0,4,3,7,9,1
BASARABEASCA,2023-09-11,25,40,65,24,36,1,2,0,0,0,2,1,9,0
BASARABEASCA,2023-09-12,33,38,71,27,33,2,1,0,0,4,4,2,9,0
BASARABEASCA,2023-09-13,26,54,80,24,28,1,14,0,0,1,12,3,9,0
BASARABEASCA,2023-09-14,27,40,67,24,21,1,10,0,0,2,9,4,9,0
BASARABEASCA,2023-09-15,30,29,59,24,20,2,1,0,0,4,8,5,9,0
BASARABEASCA,2023-09-16,40,60,100,35,52,1,2,1,1,3,5,6,9,1
BASARABEASCA,2023-09-17,34,40,74,27,29,2,2,0,0,5,9,7,9,1
BASARABEASCA,2023-09-18,33,45,78,29,37,3,3,0,0,1,5,1,9,0
BASARABEASCA,2023-09-19,27,47,74,23,44,3,1,0,0,1,2,2,9,0
BASARABEASCA,2023-09-20,32,34,66,27,25,1,1,0,0,4,8,3,9,0
BASARABEASCA,2023-09-21,35,45,80,30,33,2,4,0,0,3,8,4,9,0
BASARABEASCA,2023-09-22,37,53,90,31,43,2,1,0,0,4,9,5,9,0
BASARABEASCA,2023-09-23,40,52,92,36,44,1,2,0,0,3,6,6,9,1
BASARABEASCA,2023-09-24,35,46,81,30,39,2,1,0,0,3,6,7,9,1
BASARABEASCA,2023-09-25,27,21,48,25,17,1,2,0,0,1,2,1,9,0
BASARABEASCA,2023-09-26,30,40,70,27,32,2,1,0,0,1,7,2,9,0
BASARABEASCA,2023-09-27,28,49,77,26,33,1,1,0,0,1,15,3,9,0
BASARABEASCA,2023-09-28,31,45,76,29,37,1,2,0,0,1,6,4,9,0
BASARABEASCA,2023-09-29,35,46,81,31,40,2,1,0,0,2,5,5,9,0
BASARABEASCA,2023-09-30,56,56,112,53,48,1,2,0,0,2,6,6,9,1
BASARABEASCA,2023-10-01,40,45,85,36,40,2,2,0,0,2,3,7,10,1
BASARABEASCA,2023-10-02,24,29,53,22,25,1,3,0,0,1,1,1,10,0
BASARABEASCA,2023-10-03,21,19,40,18,17,2,1,0,0,1,1,2,10,0
BASARABEASCA,2023-10-04,27,33,60,23,25,1,1,0,0,3,7,3,10,0
BASARABEASCA,2023-10-05,32,39,71,30,33,1,2,0,0,1,4,4,10,0
BASARABEASCA,2023-10-06,27,39,66,23,28,2,1,0,0,2,10,5,10,0
BASARABEASCA,2023-10-07,42,59,101,39,44,2,3,0,0,1,12,6,10,1
BASARABEASCA,2023-10-08,32,50,82,29,46,2,2,0,0,1,2,7,10,1
BASARABEASCA,2023-10-09,30,36,66,26,30,1,2,0,0,3,4,1,10,0
BASARABEASCA,2023-10-10,26,27,53,21,23,2,1,0,0,3,3,2,10,0
